judge_name	subject_ID	word	feature	done	british
ferragne	168	hotter	rhotic	1	-1
ferragne	169	logs	lot	1	1
ferragne	169	grass	bath	1	-1
ferragne	169	water	flap	1	1
ferragne	169	hotter	rhotic	1	0
ferragne	170	logs	lot	1	-1
ferragne	170	grass	bath	1	-1
ferragne	170	water	flap	1	1
ferragne	170	hotter	rhotic	1	-1
ferragne	171	logs	lot	1	1
ferragne	171	grass	bath	1	-1
ferragne	171	water	flap	1	-1
ferragne	171	hotter	rhotic	1	1
ferragne	172	logs	lot	1	1
ferragne	172	grass	bath	1	-1
ferragne	172	water	flap	1	1
ferragne	172	hotter	rhotic	1	1
ferragne	173	logs	lot	1	1
ferragne	173	grass	bath	1	-1
ferragne	173	water	flap	1	-1
ferragne	173	hotter	rhotic	1	-1
ferragne	174	logs	lot	1	-1
ferragne	174	grass	bath	1	-1
ferragne	174	water	flap	1	-1
ferragne	174	hotter	rhotic	1	-1
ferragne	175	logs	lot	1	1
ferragne	175	grass	bath	1	-1
ferragne	175	water	flap	1	-1
ferragne	175	hotter	rhotic	1	-1
ferragne	176	logs	lot	1	1
ferragne	176	grass	bath	1	-1
ferragne	176	water	flap	1	-1
ferragne	176	hotter	rhotic	1	1
ferragne	177	logs	lot	1	1
ferragne	177	grass	bath	1	-1
ferragne	177	water	flap	1	-1
ferragne	177	hotter	rhotic	1	-1
ferragne	178	logs	lot	1	1
ferragne	178	grass	bath	1	-1
ferragne	178	water	flap	1	-1
ferragne	178	hotter	rhotic	1	-1
ferragne	180	logs	lot	1	1
ferragne	180	grass	bath	1	-1
ferragne	180	water	flap	1	1
ferragne	180	hotter	rhotic	1	1
ferragne	182	logs	lot	1	-1
ferragne	182	grass	bath	1	-1
ferragne	182	water	flap	1	-1
ferragne	182	hotter	rhotic	1	-1
ferragne	183	logs	lot	1	1
ferragne	183	grass	bath	1	-1
ferragne	183	water	flap	1	-1
ferragne	183	hotter	rhotic	1	-1
ferragne	184	logs	lot	1	1
ferragne	184	grass	bath	1	-1
ferragne	184	water	flap	1	-1
ferragne	184	hotter	rhotic	1	-1
ferragne	185	logs	lot	1	1
ferragne	185	grass	bath	1	1
ferragne	185	water	flap	1	1
ferragne	185	hotter	rhotic	1	1
ferragne	186	logs	lot	1	1
ferragne	186	grass	bath	1	-1
ferragne	186	water	flap	1	1
ferragne	186	hotter	rhotic	1	1
ferragne	187	logs	lot	1	1
ferragne	187	grass	bath	1	-1
ferragne	187	water	flap	1	-1
ferragne	187	hotter	rhotic	1	-1
ferragne	188	logs	lot	1	1
ferragne	188	grass	bath	1	0
ferragne	188	water	flap	1	-1
ferragne	188	hotter	rhotic	1	-1
ferragne	189	logs	lot	1	1
ferragne	189	grass	bath	1	-1
ferragne	189	water	flap	1	-1
ferragne	189	hotter	rhotic	1	-1
ferragne	191	logs	lot	1	1
ferragne	191	grass	bath	1	-1
ferragne	191	water	flap	1	1
ferragne	191	hotter	rhotic	1	1
ferragne	192	logs	lot	1	1
ferragne	192	grass	bath	1	1
ferragne	192	water	flap	1	1
ferragne	192	hotter	rhotic	1	1
ferragne	204	logs	lot	1	1
ferragne	204	grass	bath	1	-1
ferragne	204	water	flap	1	-1
ferragne	204	hotter	rhotic	1	-1
ferragne	205	logs	lot	1	1
ferragne	205	grass	bath	1	1
ferragne	205	water	flap	1	1
ferragne	205	hotter	rhotic	1	1
ferragne	206	logs	lot	1	-1
ferragne	206	grass	bath	1	-1
ferragne	206	water	flap	1	-1
ferragne	206	hotter	rhotic	1	-1
ferragne	207	logs	lot	1	1
ferragne	207	grass	bath	1	1
ferragne	207	water	flap	1	1
ferragne	207	hotter	rhotic	1	-1
ferragne	208	logs	lot	1	1
ferragne	208	grass	bath	1	0
ferragne	208	water	flap	1	1
ferragne	208	hotter	rhotic	1	-1
ferragne	209	logs	lot	1	-1
ferragne	209	grass	bath	1	-1
ferragne	209	water	flap	1	-1
ferragne	209	hotter	rhotic	1	1
ferragne	210	logs	lot	1	1
ferragne	210	grass	bath	1	-1
ferragne	210	water	flap	1	1
